practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.1052632,0,0,0,0,0.08163265
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,0.1111111,0.04761905,0,0,0.05555556
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.04166667,0,0,0.04,0.03389831,0.02139037
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.05,0.0625,0.1333333,0,0,0.07462686
try0,0.05,0.0625,0.1333333,0,0,0.07462686
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.05,0.08333334,0.1333333,0.0625,0.2222222,0.09722222
try0,0,0.08333334,0.1333333,0.0625,0.2222222,0.08641975
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.1111111,0.08333334,0.1666667,0.25,0.3333333,0.1470588
try0,0,0.3,0.1666667,0.25,0.3333333,0.1355932
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.2727273,0,0,0,0,0.2727273
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
practice,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
